Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
Madden NFL 07;Xbox;2006;EA Tiburon;1.03;0.97;0.03;0.0;0.03;6th Gen;Home Console;Microsoft;madden nfl 07
Madden NFL 08;GameCube;2007;EA Tiburon;0.08;0.06;0.02;0.0;0.0;6th Gen;Home Console;Nintendo;madden nfl 08
Madden NFL 08;PlayStation 2;2007;EA Tiburon;2.57;2.14;0.08;0.0;0.35;6th Gen;Home Console;Sony;madden nfl 08
Madden NFL 08;PlayStation 3;2007;EA Tiburon;0.98;0.89;0.01;0.0;0.08;7th Gen;Home Console;Sony;madden nfl 08
Madden NFL 08;PlayStation Portable;2007;EA Tiburon;0.71;0.6;0.04;0.0;0.07;6th Gen;Handheld;Sony;madden nfl 08
Madden NFL 08;Xbox;2007;EA Tiburon;0.29;0.22;0.06;0.0;0.01;6th Gen;Home Console;Microsoft;madden nfl 08
Madden NFL 08;Xbox 360;2007;EA Tiburon;2.37;2.18;0.01;0.0;0.18;7th Gen;Home Console;Microsoft;madden nfl 08
Madden NFL 09;PlayStation 3;2008;EA Tiburon;1.89;1.56;0.15;0.0;0.18;7th Gen;Home Console;Sony;madden nfl 09
Madden NFL 09;Xbox;2008;EA Tiburon;0.18;0.13;0.04;0.0;0.01;6th Gen;Home Console;Microsoft;madden nfl 09
Madden NFL 09;Xbox 360;2008;EA Tiburon;2.53;2.21;0.12;0.0;0.2;7th Gen;Home Console;Microsoft;madden nfl 09
Madden NFL 09 All-Play;Wii;2008;EA Tiburon;0.84;0.77;0.01;0.0;0.06;7th Gen;Home Console;Nintendo;madden nfl 09 all play
Madden NFL 10;PlayStation 3;2009;EA Tiburon;2.37;2.03;0.13;0.0;0.21;7th Gen;Home Console;Sony;madden nfl 10
Madden NFL 10;PlayStation Portable;2009;EA Tiburon;0.67;0.5;0.08;0.0;0.09;6th Gen;Handheld;Sony;madden nfl 10
Madden NFL 10;Wii;2009;EA Tiburon;0.72;0.62;0.04;0.0;0.06;7th Gen;Home Console;Nintendo;madden nfl 10
Madden NFL 10;Xbox 360;2009;EA Tiburon;2.83;2.52;0.09;0.0;0.22;7th Gen;Home Console;Microsoft;madden nfl 10
Madden NFL 11;PlayStation 2;2010;EA Tiburon;0.5;0.41;0.02;0.0;0.07;6th Gen;Home Console;Sony;madden nfl 11
Madden NFL 11;PlayStation 3;2010;EA Tiburon;2.4;2.05;0.15;0.0;0.2;7th Gen;Home Console;Sony;madden nfl 11
Madden NFL 11;Xbox 360;2010;EA Tiburon;2.69;2.38;0.12;0.0;0.19;7th Gen;Home Console;Microsoft;madden nfl 11
Madden NFL 12;PlayStation 3;2011;EA Tiburon;2.26;1.93;0.15;0.0;0.18;7th Gen;Home Console;Sony;madden nfl 12
Madden NFL 12;Xbox 360;2011;EA Tiburon;2.7;2.43;0.11;0.0;0.16;7th Gen;Home Console;Microsoft;madden nfl 12
Madden NFL 13;PlayStation 3;2012;EA Tiburon;2.72;2.12;0.24;0.0;0.36;7th Gen;Home Console;Sony;madden nfl 13
Madden NFL 13;Xbox 360;2012;EA Tiburon;2.93;2.53;0.16;0.0;0.24;7th Gen;Home Console;Microsoft;madden nfl 13
Madden NFL 15;PlayStation 3;2014;EA Tiburon;1.5;1.11;0.11;0.0;0.28;7th Gen;Home Console;Sony;madden nfl 15
Madden NFL 15;PlayStation 4;2014;EA Tiburon;2.24;1.58;0.25;0.0;0.41;8th Gen;Home Console;Sony;madden nfl 15
Madden NFL 15;Xbox 360;2014;EA Tiburon;2.08;1.8;0.06;0.0;0.22;7th Gen;Home Console;Microsoft;madden nfl 15
Madden NFL 15;Xbox One;2014;EA Tiburon;1.61;1.34;0.1;0.0;0.17;8th Gen;Home Console;Microsoft;madden nfl 15
Madden NFL 16;PlayStation 3;2015;EA Tiburon;0.82;0.6;0.07;0.0;0.15;7th Gen;Home Console;Sony;madden nfl 16
Madden NFL 16;PlayStation 4;2015;EA Tiburon;3.31;2.39;0.31;0.0;0.61;8th Gen;Home Console;Sony;madden nfl 16
Madden NFL 16;Xbox 360;2015;EA Tiburon;1.01;0.88;0.02;0.0;0.11;7th Gen;Home Console;Microsoft;madden nfl 16
Madden NFL 16;Xbox One;2015;EA Tiburon;2.47;2.13;0.08;0.0;0.26;8th Gen;Home Console;Microsoft;madden nfl 16
Madden NFL 17;PlayStation 3;2016;EA Tiburon;0.24;0.15;0.05;0.0;0.04;7th Gen;Home Console;Sony;madden nfl 17
Madden NFL 17;PlayStation 4;2016;EA Tiburon;3.27;2.3;0.37;0.0;0.6;8th Gen;Home Console;Sony;madden nfl 17
Madden NFL 17;Xbox 360;2016;EA Tiburon;0.47;0.37;0.05;0.0;0.05;7th Gen;Home Console;Microsoft;madden nfl 17
Madden NFL 17;Xbox One;2016;EA Tiburon;2.44;2.14;0.04;0.0;0.26;8th Gen;Home Console;Microsoft;madden nfl 17
Madden NFL 18;PlayStation 4;2017;EA Tiburon;2.62;1.73;0.42;0.0;0.47;8th Gen;Home Console;Sony;madden nfl 18
Madden NFL 18;Xbox One;2017;EA Tiburon;1.9;1.63;0.07;0.0;0.2;8th Gen;Home Console;Microsoft;madden nfl 18
Madden NFL 19;PlayStation 4;2018;EA Tiburon;2.22;1.63;0.18;0.0;0.41;8th Gen;Home Console;Sony;madden nfl 19
Madden NFL 19;Xbox One;2018;EA Tiburon;1.51;1.33;0.02;0.0;0.16;8th Gen;Home Console;Microsoft;madden nfl 19
Madden NFL 2000;Nintendo 64;1999;EA Tiburon;0.6;0.58;0.02;0.0;0.0;5th Gen;Home Console;Nintendo;madden nfl 2000
Madden NFL 2000;PlayStation;1999;EA Tiburon;1.76;1.68;0.04;0.0;0.04;5th Gen;Home Console;Sony;madden nfl 2000
Madden NFL 2001;Nintendo 64;2000;EA Tiburon;0.64;0.6;0.03;0.0;0.01;5th Gen;Home Console;Nintendo;madden nfl 2001
Madden NFL 2001;PlayStation;2000;EA Sports;1.67;1.58;0.05;0.0;0.04;5th Gen;Home Console;Sony;madden nfl 2001
Madden NFL 2001;PlayStation 2;2000;EA Sports;1.51;1.19;0.07;0.05;0.2;6th Gen;Home Console;Sony;madden nfl 2001
Madden NFL 2002;GameCube;2001;EA Sports;0.61;0.47;0.12;0.0;0.02;6th Gen;Home Console;Nintendo;madden nfl 2002
Madden NFL 2002;Nintendo 64;2001;BudCat Games;0.43;0.41;0.02;0.0;0.0;5th Gen;Home Console;Nintendo;madden nfl 2002
Madden NFL 2002;PlayStation;2001;EA Sports;1.4;0.78;0.53;0.0;0.09;5th Gen;Home Console;Sony;madden nfl 2002
Madden NFL 2002;PlayStation 2;2001;EA Sports;3.09;2.5;0.16;0.01;0.42;6th Gen;Home Console;Sony;madden nfl 2002
Madden NFL 2002;Xbox;2001;EA Sports;0.58;0.53;0.02;0.0;0.03;6th Gen;Home Console;Microsoft;madden nfl 2002
Madden NFL 2003;GameCube;2002;EA Tiburon;0.43;0.33;0.09;0.0;0.01;6th Gen;Home Console;Nintendo;madden nfl 2003
Madden NFL 2003;PlayStation 2;2002;EA Tiburon;4.14;3.36;0.21;0.01;0.56;6th Gen;Home Console;Sony;madden nfl 2003
Madden NFL 2003;Xbox;2002;EA Tiburon;0.72;0.67;0.02;0.0;0.03;6th Gen;Home Console;Microsoft;madden nfl 2003
Madden NFL 2004;GameCube;2003;EA Tiburon;0.51;0.4;0.1;0.0;0.01;6th Gen;Home Console;Nintendo;madden nfl 2004
Madden NFL 2004;PlayStation 2;2003;EA Tiburon;5.24;4.26;0.26;0.01;0.71;6th Gen;Home Console;Sony;madden nfl 2004
Madden NFL 2004;Xbox;2003;EA Tiburon;1.09;1.02;0.02;0.0;0.05;6th Gen;Home Console;Microsoft;madden nfl 2004
Madden NFL 2005;GameCube;2004;EA Tiburon;0.7;0.54;0.14;0.0;0.02;6th Gen;Home Console;Nintendo;madden nfl 2005
Madden NFL 2005;PlayStation 2;2004;EA Tiburon;4.53;4.18;0.26;0.01;0.08;6th Gen;Home Console;Sony;madden nfl 2005
