Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
Bust-A-Move 2 Arcade Edition;PlayStation;1996;Taito Corporation;0.19;0.11;0.07;0.0;0.01;5th Gen;Home Console;Sony;bust a move 2 arcade edition
Bust-A-Move 4;PlayStation;1998;Taito Corporation;0.21;0.12;0.08;0.0;0.01;5th Gen;Home Console;Sony;bust a move 4
Bust-A-Move '99;Nintendo 64;1999;Distinctive Developments Ltd;0.06;0.05;0.01;0.0;0.0;5th Gen;Home Console;Nintendo;bust a move 99
Bust-A-Move '99;PlayStation;1999;Taito Corporation;0.32;0.18;0.12;0.0;0.02;5th Gen;Home Console;Sony;bust a move 99
Bust-A-Move Bash!;Wii;2007;Happy Happening;0.15;0.13;0.01;0.0;0.01;7th Gen;Home Console;Nintendo;bust a move bash!
Bust-A-Move DS;Nintendo DS;2005;Happy Happening;0.11;0.08;0.02;0.0;0.01;7th Gen;Handheld;Nintendo;bust a move ds
Bust-A-Move Universe;Nintendo 3DS;2011;Arika;0.31;0.08;0.15;0.06;0.02;8th Gen;Handheld;Nintendo;bust a move universe
Buster Bros. Collection;PlayStation;1997;Mitchell;0.07;0.04;0.03;0.0;0.0;5th Gen;Home Console;Sony;buster bros. collection
Butt-Ugly Martians: Zoom or Doom!;PlayStation 2;2003;Runecraft;0.02;0.01;0.01;0.0;0.0;6th Gen;Home Console;Sony;butt ugly martians zoom or doom!
Buzz Lightyear of Star Command;PlayStation;2000;Traveller's Tales;0.63;0.35;0.24;0.0;0.04;5th Gen;Home Console;Sony;buzz lightyear of star command
Buzz! Brain of the UK;PlayStation 3;2009;Relentless Software;0.16;0.0;0.15;0.0;0.01;7th Gen;Home Console;Sony;buzz! brain of the uk
Buzz! Junior: Jungle Party;PlayStation 2;2007;Cohort Studios;0.41;0.2;0.16;0.0;0.05;6th Gen;Home Console;Sony;buzz! junior jungle party
Buzz! Junior: RoboJam;PlayStation 2;2008;Cohort Studios;0.23;0.11;0.09;0.0;0.03;6th Gen;Home Console;Sony;buzz! junior robojam
Buzz! Master Quiz;PlayStation Portable;2008;Relentless Software;0.9;0.22;0.44;0.0;0.24;6th Gen;Handheld;Sony;buzz! master quiz
Buzz! Quiz TV;PlayStation 3;2008;Relentless Software;0.88;0.28;0.47;0.0;0.13;7th Gen;Home Console;Sony;buzz! quiz tv
BUZZ! Quiz World;PlayStation 3;2009;Magenta Software;0.92;0.16;0.58;0.0;0.18;7th Gen;Home Console;Sony;buzz! quiz world
Buzz! The BIG Quiz;PlayStation 2;2006;Relentless Software;1.49;0.0;1.1;0.0;0.39;6th Gen;Home Console;Sony;buzz! the big quiz
Buzz! The Mega Quiz;PlayStation 2;2007;Relentless Software;0.88;0.32;0.06;0.0;0.5;6th Gen;Home Console;Sony;buzz! the mega quiz
Buzz! The Music Quiz;PlayStation 2;2005;Relentless Software;1.61;0.0;1.18;0.0;0.43;6th Gen;Home Console;Sony;buzz! the music quiz
Buzz! The Schools Quiz;PlayStation 2;2008;Relentless Software;0.21;0.0;0.02;0.0;0.19;6th Gen;Home Console;Sony;buzz! the schools quiz
Buzz! The Ultimate Music Quiz;PlayStation 3;2010;Relentless Software;0.33;0.0;0.25;0.0;0.08;7th Gen;Home Console;Sony;buzz! the ultimate music quiz
C: The Contra Adventure;PlayStation;1998;Appaloosa Interactive;0.06;0.04;0.02;0.0;0.0;5th Gen;Home Console;Sony;c the contra adventure
C.O.P.: The Recruit;Nintendo DS;2009;Ubisoft;0.08;0.05;0.02;0.0;0.01;7th Gen;Handheld;Nintendo;c.o.p. the recruit
Cabela's Adventure Camp;PlayStation 3;2011;Activision;0.11;0.06;0.03;0.0;0.02;7th Gen;Home Console;Sony;cabelas adventure camp
Cabela's Adventure Camp;Wii;2011;Activision;0.18;0.14;0.02;0.0;0.02;7th Gen;Home Console;Nintendo;cabelas adventure camp
Cabela's Adventure Camp;Xbox 360;2011;Activision;0.1;0.07;0.02;0.0;0.01;7th Gen;Home Console;Microsoft;cabelas adventure camp
Cabela's Alaskan Adventure;PlayStation 2;2006;Activision;0.02;0.01;0.01;0.0;0.0;6th Gen;Home Console;Sony;cabelas alaskan adventure
Cabela's Big Game Hunter;PlayStation 2;2002;Sand Grain Studios;1.42;0.7;0.54;0.0;0.18;6th Gen;Home Console;Sony;cabelas big game hunter
Cabela's Big Game Hunter (2008);PlayStation 2;2007;Sand Grain Studios;0.21;0.1;0.08;0.0;0.03;6th Gen;Home Console;Sony;cabelas big game hunter (2008)
Cabela's Big Game Hunter 2005 Adventures;GameCube;2004;MagicWand;0.06;0.05;0.01;0.0;0.0;6th Gen;Home Console;Nintendo;cabelas big game hunter 2005 adventures
Cabela's Big Game Hunter 2005 Adventures;PlayStation 2;2004;Activision;0.56;0.28;0.21;0.0;0.07;6th Gen;Home Console;Sony;cabelas big game hunter 2005 adventures
Cabela's Big Game Hunter 2005 Adventures;Xbox;2004;FUN Labs;0.18;0.13;0.04;0.0;0.01;6th Gen;Home Console;Microsoft;cabelas big game hunter 2005 adventures
Cabela's Big Game Hunter 2012;PlayStation 3;2011;Activision;0.23;0.17;0.03;0.0;0.03;7th Gen;Home Console;Sony;cabelas big game hunter 2012
Cabela's Big Game Hunter 2012;Wii;2011;Activision;0.37;0.33;0.02;0.0;0.02;7th Gen;Home Console;Nintendo;cabelas big game hunter 2012
Cabela's Big Game Hunter 2012;Xbox 360;2011;Activision;0.28;0.24;0.02;0.0;0.02;7th Gen;Home Console;Microsoft;cabelas big game hunter 2012
Cabela's Big Game Hunter: Ultimate Challenge;PlayStation;2001;Coresoft;0.21;0.12;0.08;0.0;0.01;5th Gen;Home Console;Sony;cabelas big game hunter ultimate challenge
Cabela's Dangerous Hunts;PlayStation 2;2003;Sand Grain Studios;1.17;0.57;0.45;0.0;0.15;6th Gen;Home Console;Sony;cabelas dangerous hunts
Cabela's Dangerous Hunts;Xbox;2003;FUN Labs;0.35;0.26;0.08;0.0;0.01;6th Gen;Home Console;Microsoft;cabelas dangerous hunts
Cabela's Dangerous Hunts 2;GameCube;2005;FUN Labs;0.04;0.03;0.01;0.0;0.0;6th Gen;Home Console;Nintendo;cabelas dangerous hunts 2
Cabela's Dangerous Hunts 2;PlayStation 2;2005;Sand Grain Studios;0.39;0.19;0.15;0.0;0.05;6th Gen;Home Console;Sony;cabelas dangerous hunts 2
Cabela's Dangerous Hunts 2;Xbox;2005;FUN Labs;0.1;0.08;0.02;0.0;0.0;6th Gen;Home Console;Microsoft;cabelas dangerous hunts 2
Cabela's Dangerous Hunts 2009;PlayStation 2;2008;Activision;0.18;0.09;0.07;0.0;0.02;6th Gen;Home Console;Sony;cabelas dangerous hunts 2009
Cabela's Dangerous Hunts 2011;PlayStation 3;2010;Cauldron;0.33;0.26;0.04;0.0;0.03;7th Gen;Home Console;Sony;cabelas dangerous hunts 2011
Cabela's Dangerous Hunts 2011;Wii;2010;Cauldron;0.59;0.53;0.02;0.0;0.04;7th Gen;Home Console;Nintendo;cabelas dangerous hunts 2011
Cabela's Dangerous Hunts 2011;Xbox 360;2010;Cauldron;0.31;0.28;0.01;0.0;0.02;7th Gen;Home Console;Microsoft;cabelas dangerous hunts 2011
Cabela's Deer Hunt: 2004 Season;PlayStation 2;2003;Sand Grain Studios;0.76;0.37;0.29;0.0;0.1;6th Gen;Home Console;Sony;cabelas deer hunt 2004 season
Cabela's Deer Hunt: 2004 Season;Xbox;2003;FUN Labs;0.22;0.16;0.05;0.0;0.01;6th Gen;Home Console;Microsoft;cabelas deer hunt 2004 season
Cabela's Deer Hunt 2005 Season;PlayStation 2;2004;Sand Grain Studios;0.37;0.18;0.14;0.0;0.05;6th Gen;Home Console;Sony;cabelas deer hunt 2005 season
Cabela's Deer Hunt 2005 Season;Xbox;2004;Sand Grain Studios;0.11;0.09;0.02;0.0;0.0;6th Gen;Home Console;Microsoft;cabelas deer hunt 2005 season
Cabela's Legendary Adventures;PlayStation 2;2008;Sand Grain Studios;0.42;0.21;0.16;0.0;0.05;6th Gen;Home Console;Sony;cabelas legendary adventures
Cabela's North American Adventures;PlayStation 2;2010;Activision;0.08;0.04;0.03;0.0;0.01;6th Gen;Home Console;Sony;cabelas north american adventures
Cabela's Outdoor Adventures;GameCube;2005;MagicWand;0.04;0.03;0.01;0.0;0.0;6th Gen;Home Console;Nintendo;cabelas outdoor adventures
Cabela's Outdoor Adventures;Xbox;2005;FUN Labs;0.1;0.08;0.02;0.0;0.0;6th Gen;Home Console;Microsoft;cabelas outdoor adventures
Cabela's Outdoor Adventures (2006);PlayStation 2;2005;Sand Grain Studios;0.36;0.17;0.14;0.0;0.05;6th Gen;Home Console;Sony;cabelas outdoor adventures (2006)
Cabela's Outdoor Adventures (2009);PlayStation 2;2009;Activision;0.14;0.07;0.05;0.0;0.02;6th Gen;Home Console;Sony;cabelas outdoor adventures (2009)
Cabela's Survival: Shadows of Katmai;PlayStation 3;2011;Activision;0.19;0.11;0.05;0.0;0.03;7th Gen;Home Console;Sony;cabelas survival shadows of katmai
Cabela's Survival: Shadows of Katmai;Wii;2011;Activision;0.19;0.14;0.04;0.0;0.01;7th Gen;Home Console;Nintendo;cabelas survival shadows of katmai
Cabela's Survival: Shadows of Katmai;Xbox 360;2011;Activision;0.18;0.14;0.03;0.0;0.01;7th Gen;Home Console;Microsoft;cabelas survival shadows of katmai
Cabela's Trophy Bucks;PlayStation 2;2007;Sand Grain Studios;0.28;0.13;0.11;0.0;0.04;6th Gen;Home Console;Sony;cabelas trophy bucks
Caesars Palace 2000: Millennium Gold Edition;PlayStation;2000;Runecraft;0.77;0.43;0.29;0.0;0.05;5th Gen;Home Console;Sony;caesars palace 2000 millennium gold edition
Caesars Palace II;PlayStation;1998;Flat Cat;0.25;0.14;0.09;0.0;0.02;5th Gen;Home Console;Sony;caesars palace ii
Cake Mania;Nintendo DS;2007;Digital Embryo;0.11;0.09;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;cake mania
Cake Mania: Baker's Challenge;PlayStation 2;2008;Sandlot Games;0.02;0.01;0.01;0.0;0.0;6th Gen;Home Console;Sony;cake mania bakers challenge
California Speed;Nintendo 64;1999;Atari Games;0.16;0.13;0.03;0.0;0.0;5th Gen;Home Console;Nintendo;california speed
Call of Cthulhu;PlayStation 4;2018;Cyanide;0.12;0.07;0.03;0.0;0.02;8th Gen;Home Console;Sony;call of cthulhu
Call of Cthulhu: Dark Corners of the Earth;Xbox;2005;Headfirst Productions;0.06;0.05;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;call of cthulhu dark corners of the earth
Call of Duty 2;Xbox 360;2005;Infinity Ward;2.05;1.84;0.04;0.01;0.16;7th Gen;Home Console;Microsoft;call of duty 2
Call of Duty 2: Big Red One;GameCube;2005;Treyarch;0.33;0.25;0.07;0.0;0.01;6th Gen;Home Console;Nintendo;call of duty 2 big red one
Call of Duty 2: Big Red One;PlayStation 2;2005;Treyarch;2.67;1.48;0.92;0.01;0.26;6th Gen;Home Console;Sony;call of duty 2 big red one
Call Of Duty 2: Big Red One;Xbox;2005;Treyarch;1.11;0.66;0.4;0.0;0.05;6th Gen;Home Console;Microsoft;call of duty 2 big red one
Call of Duty 3;PlayStation 2;2006;Treyarch;1.07;0.89;0.03;0.0;0.15;6th Gen;Home Console;Sony;call of duty 3
Call of Duty 3;PlayStation 3;2006;Treyarch;1.52;0.6;0.63;0.03;0.26;7th Gen;Home Console;Sony;call of duty 3
Call of Duty 3;Wii;2006;EXAKT Entertainment;2.24;1.17;0.84;0.0;0.23;7th Gen;Home Console;Nintendo;call of duty 3
Call of Duty 3;Xbox 360;2006;Treyarch;2.7;1.49;0.92;0.02;0.27;7th Gen;Home Console;Microsoft;call of duty 3
Call of Duty 4: Modern Warfare;Nintendo DS;2007;n-Space;1.06;0.95;0.02;0.01;0.08;7th Gen;Handheld;Nintendo;call of duty 4 modern warfare
Call of Duty 4: Modern Warfare;PlayStation 3;2007;Infinity Ward;6.72;3.13;2.27;0.28;1.04;7th Gen;Home Console;Sony;call of duty 4 modern warfare
Call of Duty 4: Modern Warfare;Xbox 360;2007;Infinity Ward;9.41;5.98;2.39;0.13;0.91;7th Gen;Home Console;Microsoft;call of duty 4 modern warfare
Call of Duty: Advanced Warfare;PlayStation 3;2014;High Moon Studios;4.27;1.59;1.81;0.2;0.67;7th Gen;Home Console;Sony;call of duty advanced warfare
Call of Duty: Advanced Warfare;PlayStation 4;2014;Sledgehammer Games;7.54;2.84;3.34;0.14;1.22;8th Gen;Home Console;Sony;call of duty advanced warfare
Call of Duty: Advanced Warfare;Xbox 360;2014;High Moon Studios;4.35;2.81;1.13;0.0;0.41;7th Gen;Home Console;Microsoft;call of duty advanced warfare
Call of Duty: Advanced Warfare;Xbox One;2014;Sledgehammer Games;5.23;3.25;1.49;0.01;0.48;8th Gen;Home Console;Microsoft;call of duty advanced warfare
Call of Duty: Black Ops;Nintendo DS;2010;n-Space;0.58;0.5;0.04;0.0;0.04;7th Gen;Handheld;Nintendo;call of duty black ops
Call of Duty: Black Ops;PlayStation 3;2010;Treyarch;12.67;6.01;4.4;0.48;1.78;7th Gen;Home Console;Sony;call of duty black ops
Call of Duty: Black Ops;Wii;2010;Treyarch;1.38;0.8;0.46;0.0;0.12;7th Gen;Home Console;Nintendo;call of duty black ops
Call of Duty: Black Ops;Xbox 360;2010;Treyarch;14.74;9.76;3.73;0.11;1.14;7th Gen;Home Console;Microsoft;call of duty black ops
Call of Duty: Black Ops 3;PlayStation 3;2015;Treyarch;1.94;0.65;0.92;0.07;0.3;7th Gen;Home Console;Sony;call of duty black ops 3
Call of Duty: Black Ops 3;PlayStation 4;2015;Treyarch;15.08;6.18;6.05;0.41;2.44;8th Gen;Home Console;Sony;call of duty black ops 3
Call of Duty: Black Ops 3;Xbox 360;2015;Treyarch;2.02;1.36;0.47;0.0;0.19;7th Gen;Home Console;Microsoft;call of duty black ops 3
Call of Duty: Black Ops 3;Xbox One;2015;Treyarch;7.37;4.63;2.04;0.02;0.68;8th Gen;Home Console;Microsoft;call of duty black ops 3
Call of Duty Black Ops: Declassified;PlayStation Vita;2012;Nihilistic;1.71;0.74;0.52;0.07;0.38;8th Gen;Handheld;Sony;call of duty black ops declassified
Call of Duty: Black Ops II;PlayStation 3;2012;Treyarch;13.8;4.99;5.88;0.65;2.28;7th Gen;Home Console;Sony;call of duty black ops ii
Call of Duty: Black Ops II;Wii U;2012;Treyarch;0.42;0.2;0.18;0.0;0.04;8th Gen;Home Console;Nintendo;call of duty black ops ii
Call of Duty: Black Ops II;Xbox 360;2012;Treyarch;13.86;8.27;4.32;0.07;1.2;7th Gen;Home Console;Microsoft;call of duty black ops ii
Call of Duty: Black Ops IIII;PlayStation 4;2018;Treyarch;9.32;4.05;3.28;0.5;1.49;8th Gen;Home Console;Sony;call of duty black ops iiii
Call of Duty: Black Ops IIII;Xbox One;2018;Treyarch;4.85;3.27;1.12;0.0;0.46;8th Gen;Home Console;Microsoft;call of duty black ops iiii
Call of Duty: Finest Hour;GameCube;2004;EXAKT Entertainment;0.4;0.31;0.08;0.0;0.01;6th Gen;Home Console;Nintendo;call of duty finest hour
Call of Duty: Finest Hour;PlayStation 2;2004;Spark Unlimited;2.88;1.51;1.12;0.01;0.24;6th Gen;Home Console;Sony;call of duty finest hour
Call of Duty: Finest Hour;Xbox;2004;Spark Unlimited;1.22;0.78;0.4;0.0;0.04;6th Gen;Home Console;Microsoft;call of duty finest hour
Call of Duty: Ghosts;PlayStation 3;2013;Infinity Ward;10.13;4.11;4.01;0.39;1.62;7th Gen;Home Console;Sony;call of duty ghosts
Call of Duty: Ghosts;PlayStation 4;2013;Infinity Ward;4.17;1.79;1.64;0.05;0.69;8th Gen;Home Console;Sony;call of duty ghosts
Call of Duty: Ghosts;Wii U;2013;Infinity Ward;0.35;0.22;0.09;0.01;0.03;8th Gen;Home Console;Nintendo;call of duty ghosts
Call of Duty: Ghosts;Xbox 360;2013;Infinity Ward;10.42;6.76;2.64;0.04;0.98;7th Gen;Home Console;Microsoft;call of duty ghosts
Call of Duty: Ghosts;Xbox One;2013;Infinity Ward;3.06;1.92;0.86;0.0;0.28;8th Gen;Home Console;Microsoft;call of duty ghosts
Call of Duty: Infinite Warfare;PlayStation 4;2016;Infinity Ward;8.49;3.11;3.83;0.19;1.36;8th Gen;Home Console;Sony;call of duty infinite warfare
Call of Duty: Infinite Warfare;Xbox One;2016;Infinity Ward;4.79;2.91;1.44;0.0;0.44;8th Gen;Home Console;Microsoft;call of duty infinite warfare
Call of Duty: Modern Warfare 2;PlayStation 3;2009;Infinity Ward;10.62;4.99;3.66;0.38;1.59;7th Gen;Home Console;Sony;call of duty modern warfare 2
Call of Duty: Modern Warfare 2;Xbox 360;2009;Infinity Ward;13.53;8.54;3.63;0.08;1.28;7th Gen;Home Console;Microsoft;call of duty modern warfare 2
Call of Duty: Modern Warfare 3;PlayStation 3;2011;Infinity Ward;13.35;5.54;5.78;0.49;1.54;7th Gen;Home Console;Sony;call of duty modern warfare 3
Call of Duty: Modern Warfare 3;Wii;2011;Infinity Ward;0.83;0.55;0.2;0.0;0.08;7th Gen;Home Console;Nintendo;call of duty modern warfare 3
Call of Duty: Modern Warfare 3;Xbox 360;2011;Infinity Ward;14.82;9.07;4.29;0.13;1.33;7th Gen;Home Console;Microsoft;call of duty modern warfare 3
Call of Duty: Modern Warfare 3: Defiance;Nintendo DS;2011;Infinity Ward;0.26;0.19;0.05;0.0;0.02;7th Gen;Handheld;Nintendo;call of duty modern warfare 3 defiance
Call of Duty: Modern Warfare: Mobilized;Nintendo DS;2009;n-Space;0.41;0.36;0.02;0.0;0.03;7th Gen;Handheld;Nintendo;call of duty modern warfare mobilized
Call of Duty: Modern Warfare: Reflex Edition;Wii;2009;Treyarch;1.51;0.94;0.43;0.0;0.14;7th Gen;Home Console;Nintendo;call of duty modern warfare reflex edition
Call of Duty: Modern Warfare Remastered;PlayStation 4;2017;Infinity Ward;0.59;0.17;0.3;0.03;0.09;8th Gen;Home Console;Sony;call of duty modern warfare remastered
Call of Duty: Modern Warfare Remastered;Xbox One;2017;Infinity Ward;0.24;0.16;0.06;0.0;0.02;8th Gen;Home Console;Microsoft;call of duty modern warfare remastered
Call of Duty: Modern Warfare Trilogy;PlayStation 3;2016;Infinity Ward;0.11;0.07;0.02;0.0;0.02;7th Gen;Home Console;Sony;call of duty modern warfare trilogy
Call of Duty: Modern Warfare Trilogy;Xbox 360;2016;Infinity Ward;0.19;0.13;0.04;0.0;0.02;7th Gen;Home Console;Microsoft;call of duty modern warfare trilogy
Call of Duty: Roads to Victory;PlayStation Portable;2007;Amaze Entertainment;2.14;0.52;1.03;0.0;0.59;6th Gen;Handheld;Sony;call of duty roads to victory
Call of Duty: World at War;Nintendo DS;2008;n-Space;0.89;0.56;0.25;0.0;0.08;7th Gen;Handheld;Nintendo;call of duty world at war
Call of Duty: World at War;PlayStation 3;2008;Treyarch;5.43;2.75;1.84;0.0;0.84;7th Gen;Home Console;Sony;call of duty world at war
Call of Duty: World at War;Wii;2008;EXAKT Entertainment;1.93;1.17;0.58;0.0;0.18;7th Gen;Home Console;Nintendo;call of duty world at war
Call of Duty: World at War;Xbox 360;2008;Treyarch;7.5;4.88;1.91;0.0;0.71;7th Gen;Home Console;Microsoft;call of duty world at war
Call of Duty: World at War Final Fronts;PlayStation 2;2008;Rebellion Developments;1.73;0.61;0.18;0.0;0.94;6th Gen;Home Console;Sony;call of duty world at war final fronts
Call of Duty: WWII;PlayStation 4;2017;Sledgehammer Games;13.4;4.67;6.21;0.4;2.12;8th Gen;Home Console;Sony;call of duty wwii
Call of Duty: WWII;Xbox One;2017;Sledgehammer Games;6.23;3.75;1.91;0.0;0.57;8th Gen;Home Console;Microsoft;call of duty wwii
Call of Juarez;Xbox 360;2007;Techland;0.17;0.14;0.02;0.0;0.01;7th Gen;Home Console;Microsoft;call of juarez
Call of Juarez: Bound in Blood;PlayStation 3;2009;Techland;0.89;0.35;0.38;0.01;0.15;7th Gen;Home Console;Sony;call of juarez bound in blood
Call of Juarez: Bound in Blood;Xbox 360;2009;Techland;0.6;0.3;0.24;0.0;0.06;7th Gen;Home Console;Microsoft;call of juarez bound in blood
Call of Juarez: The Cartel;PlayStation 3;2011;Techland;0.29;0.12;0.12;0.0;0.05;7th Gen;Home Console;Sony;call of juarez the cartel
Call of Juarez: The Cartel;Xbox 360;2011;Techland;0.27;0.14;0.1;0.0;0.03;7th Gen;Home Console;Microsoft;call of juarez the cartel
Calling;Wii;2010;Hudson Soft;0.11;0.06;0.04;0.0;0.01;7th Gen;Home Console;Nintendo;calling
Camp Rock: The Final Jam;Nintendo DS;2010;Disney Interactive Studios;0.17;0.14;0.02;0.0;0.01;7th Gen;Handheld;Nintendo;camp rock the final jam
Camping Mama: Outdoor Adventures;Nintendo DS;2011;Office Create;0.19;0.12;0.05;0.0;0.02;7th Gen;Handheld;Nintendo;camping mama outdoor adventures
Canimal Triple;PlayStation Vita;2014;;0.02;0.0;0.02;0.0;0.0;8th Gen;Handheld;Sony;canimal triple
Capcom Classics Collection;PlayStation 2;2005;Digital Eclipse;0.5;0.22;0.17;0.05;0.06;6th Gen;Home Console;Sony;capcom classics collection
Capcom Classics Collection;Xbox;2005;Digital Eclipse;0.15;0.11;0.03;0.0;0.01;6th Gen;Home Console;Microsoft;capcom classics collection
Capcom Digital Collection;Xbox 360;2012;Unknown;0.03;0.02;0.01;0.0;0.0;7th Gen;Home Console;Microsoft;capcom digital collection
Capcom Fighting Evolution;PlayStation 2;2004;Capcom Production Studio 2;0.21;0.1;0.08;0.0;0.03;6th Gen;Home Console;Sony;capcom fighting evolution
Capcom Fighting Evolution;Xbox;2005;Capcom Production Studio 2;0.04;0.03;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;capcom fighting evolution
Capcom vs. SNK 2 EO;GameCube;2002;Capcom;0.11;0.09;0.02;0.0;0.0;6th Gen;Home Console;Nintendo;capcom vs. snk 2 eo
Capcom vs. SNK 2 EO;Xbox;2003;Capcom;0.1;0.08;0.02;0.0;0.0;6th Gen;Home Console;Microsoft;capcom vs. snk 2 eo
Capcom vs. SNK 2: Mark of the Millennium 2001;PlayStation 2;2001;Capcom;0.75;0.22;0.17;0.3;0.06;6th Gen;Home Console;Sony;capcom vs. snk 2 mark of the millennium 2001
Captain America: Super Soldier;Nintendo 3DS;2011;Sega;0.09;0.05;0.03;0.0;0.01;8th Gen;Handheld;Nintendo;captain america super soldier
Captain America: Super Soldier;PlayStation 3;2011;Next Level Games;0.2;0.1;0.07;0.0;0.03;7th Gen;Home Console;Sony;captain america super soldier
Captain America: Super Soldier;Xbox 360;2011;Next Level Games;0.17;0.11;0.05;0.0;0.01;7th Gen;Home Console;Microsoft;captain america super soldier
Captain Morgane and the Golden Turtle;Nintendo DS;2012;WizarBox;0.02;0.0;0.02;0.0;0.0;7th Gen;Handheld;Nintendo;captain morgane and the golden turtle
Captain Morgane and the Golden Turtle;PlayStation 3;2012;WizarBox;0.02;0.0;0.02;0.0;0.0;7th Gen;Home Console;Sony;captain morgane and the golden turtle
Captain Morgane and the Golden Turtle;Wii;2012;WizarBox;0.01;0.0;0.01;0.0;0.0;7th Gen;Home Console;Nintendo;captain morgane and the golden turtle
Captain Toad: Treasure Tracker;Nintendo 3DS;2018;Nintendo EPD;0.19;0.06;0.04;0.08;0.01;8th Gen;Handheld;Nintendo;captain toad treasure tracker
Captain Toad: Treasure Tracker;Wii U;2014;Nintendo EAD Tokyo;1.2;0.56;0.36;0.19;0.09;8th Gen;Home Console;Nintendo;captain toad treasure tracker
Captain Tsubasa: New Kick Off;Nintendo DS;2010;Konami;0.08;0.0;0.02;0.06;0.0;7th Gen;Handheld;Nintendo;captain tsubasa new kick off
Card Games;PlayStation;2001;Amedio;0.07;0.04;0.03;0.0;0.0;5th Gen;Home Console;Sony;card games
Cardinal Syn;PlayStation;1998;Kronos Digital Entertainment;0.15;0.08;0.06;0.0;0.01;5th Gen;Home Console;Sony;cardinal syn
Carmageddon: Max Damage;Xbox One;2017;Stainless Games;0.03;0.02;0.01;0.0;0.0;8th Gen;Home Console;Microsoft;carmageddon max damage
Carmen Sandiego: The Secret of the Stolen Drums;PlayStation 2;2004;Artificial Mind and Movement;0.06;0.03;0.02;0.0;0.01;6th Gen;Home Console;Sony;carmen sandiego the secret of the stolen drums
Carmen Sandiego: The Secret of the Stolen Drums;Xbox;2004;Artificial Mind and Movement;0.03;0.02;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;carmen sandiego the secret of the stolen drums
Carnage Heart;PlayStation;1997;ArtDink;0.12;0.01;0.01;0.09;0.01;5th Gen;Home Console;Sony;carnage heart
Carnival Games;Nintendo DS;2008;Cat Daddy Games;2.04;1.22;0.63;0.0;0.19;7th Gen;Handheld;Nintendo;carnival games
Carnival Games;Switch;2018;Cat Daddy Games;0.27;0.11;0.14;0.0;0.02;8th Gen;Hybrid;Nintendo;carnival games
Carnival Games;Wii;2007;Cat Daddy Games;4.06;2.12;1.47;0.05;0.42;7th Gen;Home Console;Nintendo;carnival games
Carnival Games: Mini Golf;Wii;2008;Cat Daddy Games;1.56;0.86;0.55;0.0;0.15;7th Gen;Home Console;Nintendo;carnival games mini golf
Carnival Games: Monkey See, Monkey Do!;Xbox 360;2011;Take-Two Interactive;0.32;0.14;0.15;0.0;0.03;7th Gen;Home Console;Microsoft;carnival games monkey see, monkey do!
Carnival Games: Wild West 3D;Nintendo 3DS;2011;Cat Daddy Games;0.1;0.06;0.03;0.0;0.01;8th Gen;Handheld;Nintendo;carnival games wild west 3d
Carnival Island;PlayStation 3;2011;Magic Pixel Games;0.23;0.13;0.06;0.0;0.04;7th Gen;Home Console;Sony;carnival island
Carol Vorderman's Sudoku;PlayStation 2;2007;Empire Interactive;0.28;0.0;0.23;0.0;0.05;6th Gen;Home Console;Sony;carol vordermans sudoku
Cars;GameCube;2006;Rainbow Studios;0.94;0.72;0.19;0.0;0.03;6th Gen;Home Console;Nintendo;cars
Cars;Nintendo DS;2006;Helixe;0.97;0.85;0.05;0.0;0.07;7th Gen;Handheld;Nintendo;cars
Cars;PlayStation 2;2006;Rainbow Studios;1.21;1.01;0.04;0.0;0.16;6th Gen;Home Console;Sony;cars
Cars;PlayStation Portable;2006;Locomotive Games;1.2;0.72;0.28;0.0;0.2;6th Gen;Handheld;Sony;cars
Cars;Wii;2006;Rainbow Studios;0.93;0.83;0.03;0.0;0.07;7th Gen;Home Console;Nintendo;cars
Cars;Xbox;2006;Rainbow Studios;0.2;0.15;0.04;0.0;0.01;6th Gen;Home Console;Microsoft;cars
Cars;Xbox 360;2006;Rainbow Studios;0.25;0.22;0.01;0.0;0.02;7th Gen;Home Console;Microsoft;cars
Cars 2;Nintendo DS;2011;Avalanche Software;1.25;0.68;0.41;0.04;0.12;7th Gen;Handheld;Nintendo;cars 2
Cars 2;PlayStation 3;2011;Avalanche Software;0.53;0.22;0.22;0.0;0.09;7th Gen;Home Console;Sony;cars 2
Cars 2;PlayStation Portable;2011;Disney Interactive;0.13;0.1;0.01;0.0;0.02;6th Gen;Handheld;Sony;cars 2
Cars 2;Wii;2011;Avalanche Software;0.91;0.43;0.38;0.0;0.1;7th Gen;Home Console;Nintendo;cars 2
Cars 2;Xbox 360;2011;Avalanche Software;0.48;0.28;0.15;0.0;0.05;7th Gen;Home Console;Microsoft;cars 2
Cars 3: Driven to Win;PlayStation 4;2017;Avalanche Software;0.29;0.06;0.18;0.01;0.04;8th Gen;Home Console;Sony;cars 3 driven to win
