;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
13686;SpongeBob SquarePants: Lights, Camera, Pants!;Xbox;2005;THQ Australia Studios Pty Ltd.;0.26;0.19;0.06;0.0;0.01;6th Gen;Home Console;Microsoft;spongebob squarepants lights, camera, pants!
13687;SpongeBob SquarePants: Plankton's Robotic Revenge;Nintendo 3DS;2013;Behaviour Interactive;0.06;0.0;0.06;0.0;0.0;8th Gen;Handheld;Nintendo;spongebob squarepants planktons robotic revenge
13688;SpongeBob SquarePants: Plankton's Robotic Revenge;Wii U;2013;Behaviour Interactive;0.05;0.0;0.05;0.0;0.0;8th Gen;Home Console;Nintendo;spongebob squarepants planktons robotic revenge
13690;SpongeBob SquarePants: Revenge of the Flying Dutchman;GameCube;2002;Big Sky Software;0.2;0.15;0.04;0.0;0.01;6th Gen;Home Console;Nintendo;spongebob squarepants revenge of the flying dutchman
13691;SpongeBob SquarePants: Revenge of the Flying Dutchman;PlayStation 2;2002;Big Sky Software;1.08;0.53;0.41;0.0;0.14;6th Gen;Home Console;Sony;spongebob squarepants revenge of the flying dutchman
13692;SpongeBob SquarePants: SuperSponge;PlayStation;2001;Climax Group;1.78;1.12;0.58;0.0;0.08;5th Gen;Home Console;Sony;spongebob squarepants supersponge
13694;SpongeBob SquarePants: The Yellow Avenger;PlayStation Portable;2006;Tantalus Interactive;0.92;0.55;0.21;0.0;0.16;6th Gen;Handheld;Sony;spongebob squarepants the yellow avenger
13695;SpongeBob SquigglePants;Wii;2011;WayForward Technologies;0.41;0.35;0.03;0.0;0.03;7th Gen;Home Console;Nintendo;spongebob squigglepants
13696;SpongeBob SquigglePants 3D;Nintendo 3DS;2011;WayForward Technologies;0.2;0.13;0.05;0.0;0.02;8th Gen;Handheld;Nintendo;spongebob squigglepants 3d
13697;SpongeBob vs The Big One: Beach Party Cook Off;Nintendo DS;2009;THQ;0.39;0.24;0.11;0.0;0.04;7th Gen;Handheld;Nintendo;spongebob vs the big one beach party cook off
