;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
9312;Viking: Battle for Asgard;Xbox 360;2008;The Creative Assembly;0.44;0.16;0.23;0.0;0.05;7th Gen;Home Console;Microsoft;viking battle for asgard
9313;Vikings: Wolves of Midgard;PlayStation 4;2017;Games Farm;0.05;0.03;0.01;0.0;0.01;8th Gen;Home Console;Sony;vikings wolves of midgard
9314;Vin Diesel: Wheelman;PlayStation 3;2009;Tigon;0.31;0.12;0.14;0.0;0.05;7th Gen;Home Console;Sony;vin diesel wheelman
9315;Vin Diesel: Wheelman;Xbox 360;2009;Tigon;0.45;0.24;0.17;0.0;0.04;7th Gen;Home Console;Microsoft;vin diesel wheelman
9316;Virtua Fighter 4;PlayStation 2;2002;Sega-AM2;1.82;0.78;0.44;0.56;0.04;6th Gen;Home Console;Sony;virtua fighter 4
9317;Virtua Fighter 4: Evolution;PlayStation 2;2003;Sega-AM2;0.71;0.35;0.27;0.0;0.09;6th Gen;Home Console;Sony;virtua fighter 4 evolution
9318;Virtua Fighter 5;PlayStation 3;2007;Sega-AM2;1.09;0.29;0.52;0.08;0.2;7th Gen;Home Console;Sony;virtua fighter 5
9319;Virtua Fighter 5 Online;Xbox 360;2007;Sega-AM2;0.27;0.2;0.02;0.03;0.02;7th Gen;Home Console;Microsoft;virtua fighter 5 online
9320;Virtua Quest;PlayStation 2;2005;Artificial Mind and Movement;0.02;0.01;0.01;0.0;0.0;6th Gen;Home Console;Sony;virtua quest
9321;Virtua Tennis 2009;PlayStation 3;2009;Sumo Digital;0.37;0.09;0.22;0.0;0.06;7th Gen;Home Console;Sony;virtua tennis 2009
9322;Virtua Tennis 2009;Wii;2009;Sumo Digital;0.37;0.12;0.21;0.0;0.04;7th Gen;Home Console;Nintendo;virtua tennis 2009
9323;Virtua Tennis 2009;Xbox 360;2009;Sumo Digital;0.33;0.12;0.18;0.0;0.03;7th Gen;Home Console;Microsoft;virtua tennis 2009
9324;Virtua Tennis 3;PlayStation 3;2007;Sega-AM3;1.05;0.23;0.58;0.03;0.21;7th Gen;Home Console;Sony;virtua tennis 3
9325;Virtua Tennis 3;PlayStation Portable;2007;Sumo Digital;0.05;0.02;0.02;0.0;0.01;6th Gen;Handheld;Sony;virtua tennis 3
9326;Virtua Tennis 3;Xbox 360;2007;Sumo Digital;0.04;0.03;0.01;0.0;0.0;7th Gen;Home Console;Microsoft;virtua tennis 3
9327;Virtua Tennis 4;PlayStation 3;2011;Sega-AM2;0.44;0.09;0.24;0.03;0.08;7th Gen;Home Console;Sony;virtua tennis 4
9328;Virtua Tennis 4;Wii;2011;Sega-AM2;0.14;0.05;0.08;0.0;0.01;7th Gen;Home Console;Nintendo;virtua tennis 4
9329;Virtua Tennis 4;Xbox 360;2011;Sega-AM2;0.24;0.12;0.09;0.01;0.02;7th Gen;Home Console;Microsoft;virtua tennis 4
9330;Virtua Tennis 4: World Tour;PlayStation Vita;2011;;0.48;0.05;0.3;0.01;0.12;8th Gen;Handheld;Sony;virtua tennis 4 world tour
