;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
16089;Ty the Tasmanian Tiger;PlayStation 2;2002;Krome Studios;1.17;0.57;0.45;0.0;0.15;6th Gen;Home Console;Sony;ty the tasmanian tiger
16090;Ty the Tasmanian Tiger;Xbox;2002;Krome Studios;0.19;0.14;0.04;0.0;0.01;6th Gen;Home Console;Microsoft;ty the tasmanian tiger
16091;Ty the Tasmanian Tiger 2: Bush Rescue;GameCube;2004;Krome Studios;0.2;0.15;0.04;0.0;0.01;6th Gen;Home Console;Nintendo;ty the tasmanian tiger 2 bush rescue
16092;Ty the Tasmanian Tiger 2: Bush Rescue;PlayStation 2;2004;Krome Studios;0.53;0.26;0.2;0.0;0.07;6th Gen;Home Console;Sony;ty the tasmanian tiger 2 bush rescue
16093;Ty the Tasmanian Tiger 2: Bush Rescue;Xbox;2004;Krome Studios;0.1;0.08;0.02;0.0;0.0;6th Gen;Home Console;Microsoft;ty the tasmanian tiger 2 bush rescue
16094;Ty the Tasmanian Tiger 3: Night of the Quinkan;GameCube;2005;Krome Studios;0.09;0.07;0.02;0.0;0.0;6th Gen;Home Console;Nintendo;ty the tasmanian tiger 3 night of the quinkan
16095;Ty the Tasmanian Tiger 3: Night of the Quinkan;PlayStation 2;2005;Krome Studios;0.18;0.09;0.07;0.0;0.02;6th Gen;Home Console;Sony;ty the tasmanian tiger 3 night of the quinkan
16096;Ty the Tasmanian Tiger 3: Night of the Quinkan;Xbox;2005;Krome Studios;0.03;0.02;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;ty the tasmanian tiger 3 night of the quinkan
16097;Tyco RC: Assault with a Battery;PlayStation;2000;Lucky Chicken Games;0.11;0.06;0.04;0.0;0.01;5th Gen;Home Console;Sony;tyco rc assault with a battery
16098;U-Sing;Wii;2009;Mindscape Inc.;0.35;0.0;0.32;0.0;0.03;7th Gen;Home Console;Nintendo;u sing
16099;U-Sing  2;Wii;2010;Mindscape Inc.;0.09;0.0;0.08;0.0;0.01;7th Gen;Home Console;Nintendo;u sing 2
16100;U-Sing: Girls Night;Wii;2010;Mindscape Inc.;0.25;0.0;0.21;0.0;0.04;7th Gen;Home Console;Nintendo;u sing girls night
16101;UEFA Champions League 2006-2007;PlayStation Portable;2007;EA Canada;0.01;0.01;0.0;0.0;0.0;6th Gen;Handheld;Sony;uefa champions league 2006 2007
16102;UEFA Champions League 2006-2007;Xbox 360;2007;EA Canada;0.05;0.04;0.01;0.0;0.0;7th Gen;Home Console;Microsoft;uefa champions league 2006 2007
16103;UEFA Euro 2004: Portugal;PlayStation 2;2004;EA Canada;0.14;0.07;0.05;0.0;0.02;6th Gen;Home Console;Sony;uefa euro 2004 portugal
16104;UEFA Euro 2004: Portugal;Xbox;2004;EA Canada;0.05;0.04;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;uefa euro 2004 portugal
16105;UEFA Euro 2008 Austria-Switzerland;PlayStation 2;2008;Unknown;0.31;0.03;0.0;0.0;0.28;6th Gen;Home Console;Sony;uefa euro 2008 austria switzerland
16106;UEFA Euro 2008 Austria-Switzerland;PlayStation 3;2008;Unknown;0.41;0.08;0.27;0.0;0.06;7th Gen;Home Console;Sony;uefa euro 2008 austria switzerland
16107;UEFA Euro 2008 Austria-Switzerland;PlayStation Portable;2008;Unknown;0.25;0.06;0.13;0.0;0.06;6th Gen;Handheld;Sony;uefa euro 2008 austria switzerland
16108;UEFA Euro 2008 Austria-Switzerland;Xbox 360;2008;Unknown;0.34;0.08;0.23;0.0;0.03;7th Gen;Home Console;Microsoft;uefa euro 2008 austria switzerland
16109;UEFA Euro 2016;PlayStation 3;2016;Konami Digital Entertainment;0.11;0.0;0.05;0.05;0.01;7th Gen;Home Console;Sony;uefa euro 2016
16110;UEFA Euro 2016;PlayStation 4;2016;Konami Digital Entertainment;0.31;0.0;0.22;0.05;0.04;8th Gen;Home Console;Sony;uefa euro 2016
16111;UFC 2009 Undisputed;PlayStation 3;2009;Yuke's Osaka;1.77;1.07;0.45;0.01;0.24;7th Gen;Home Console;Sony;ufc 2009 undisputed
16112;UFC 2009 Undisputed;Xbox 360;2009;Yuke's Osaka;2.06;1.48;0.39;0.0;0.19;7th Gen;Home Console;Microsoft;ufc 2009 undisputed
16113;UFC Personal Trainer: The Ultimate Fitness System;PlayStation 3;2011;THQ;0.21;0.1;0.08;0.0;0.03;7th Gen;Home Console;Sony;ufc personal trainer the ultimate fitness system
16114;UFC Personal Trainer: The Ultimate Fitness System;Wii;2011;THQ;0.2;0.12;0.06;0.0;0.02;7th Gen;Home Console;Nintendo;ufc personal trainer the ultimate fitness system
16115;UFC Personal Trainer: The Ultimate Fitness System;Xbox 360;2011;THQ;0.77;0.53;0.18;0.0;0.06;7th Gen;Home Console;Microsoft;ufc personal trainer the ultimate fitness system
