;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company
16268;Utawarerumono: Itsuwari no Kamen;PlayStation Vita;2015;;0.07;0.0;0.0;0.07;0.0;8th Gen;Handheld;Sony
16269;Utawarerumono: Mask of Deception;PlayStation 3;2015;Aqua Plus;0.06;0.0;0.0;0.06;0.0;7th Gen;Home Console;Sony
16270;Utawarerumono: Mask of Deception;PlayStation 4;2017;Aqua Plus;0.13;0.05;0.0;0.07;0.01;8th Gen;Home Console;Sony
16271;Utawarerumono: Mask of Deception;PlayStation Vita;2017;Aqua Plus;0.11;0.02;0.0;0.08;0.01;8th Gen;Handheld;Sony
16272;Utawarerumono: Mask of Truth;PlayStation 3;2016;Aqua Plus;0.04;0.0;0.0;0.04;0.0;7th Gen;Home Console;Sony
16273;Utawarerumono: Mask of Truth;PlayStation 4;2017;Aqua Plus;0.13;0.05;0.0;0.07;0.01;8th Gen;Home Console;Sony
16274;Utawarerumono: Mask of Truth;PlayStation Vita;2017;Aqua Plus;0.09;0.01;0.0;0.08;0.0;8th Gen;Handheld;Sony
16275;Utsusemi no Mawari;PlayStation Vita;2017;Matatabi;0.01;0.0;0.0;0.01;0.0;8th Gen;Handheld;Sony
16276;Uwasa no Midori-Kun!! 2 Futari no Midori!?;Nintendo DS;2008;Idea Factory;0.0;0.0;0.0;0.0;0.0;7th Gen;Handheld;Nintendo
16277;V-Rally 3;PlayStation 2;2002;Eden Studios;0.06;0.03;0.02;0.0;0.01;6th Gen;Home Console;Sony
16278;V-Rally 3;Xbox;2003;Eden Studios;0.01;0.01;0.0;0.0;0.0;6th Gen;Home Console;Microsoft
16279;V-Rally 4;PlayStation 4;2018;Kylotonn;0.01;0.01;0.0;0.0;0.0;8th Gen;Home Console;Sony
16280;V-Rally 4;Xbox One;2018;Kylotonn;0.01;0.01;0.0;0.0;0.0;8th Gen;Home Console;Microsoft
16281;V-Rally Edition 99;Nintendo 64;1999;Eden Studios;0.09;0.07;0.02;0.0;0.0;5th Gen;Home Console;Nintendo
16282;VA-11 HALL-A;PlayStation Vita;2017;Sukeban Games;0.01;0.0;0.0;0.01;0.0;8th Gen;Handheld;Sony
16283;VMX Racing;PlayStation;1997;Studio E;0.29;0.16;0.11;0.0;0.02;5th Gen;Home Console;Sony
16284;VR Golf '97;PlayStation;1996;Gremlin Interactive;0.16;0.09;0.06;0.0;0.01;5th Gen;Home Console;Sony
16285;VR Karts;PlayStation 4;2017;Unknown;0.04;0.03;0.0;0.0;0.01;8th Gen;Home Console;Sony
16286;VR Soccer '96;PlayStation;1996;Gremlin Interactive;0.05;0.03;0.02;0.0;0.0;5th Gen;Home Console;Sony
16287;Vacation Isle: Beach Party;Wii;2010;FarSight Studios;0.11;0.08;0.02;0.0;0.01;7th Gen;Home Console;Nintendo
16288;Vacation Sports;Wii;2009;Mere Mortals;0.11;0.09;0.01;0.0;0.01;7th Gen;Home Console;Nintendo
16289;Vagrant Story;PlayStation;2000;SquareSoft;0.86;0.3;0.2;0.3;0.06;5th Gen;Home Console;Sony
16290;Valentino Rossi: The Game;PlayStation 4;2016;Milestone S.r.l.;0.12;0.05;0.05;0.0;0.02;8th Gen;Home Console;Sony
16291;Valentino Rossi: The Game;Xbox One;2016;Milestone S.r.l.;0.08;0.05;0.02;0.0;0.01;8th Gen;Home Console;Microsoft
16292;Valhalla Hills: Definitive Edition;PlayStation 4;2017;Daedalic Entertainment;0.01;0.01;0.0;0.0;0.0;8th Gen;Home Console;Sony
16293;Valhalla Hills: Definitive Edition;Xbox One;2017;Daedalic Entertainment;0.0;0.0;0.0;0.0;0.0;8th Gen;Home Console;Microsoft
16294;Valhalla Knights;PlayStation Portable;2007;K2 LLC;0.23;0.15;0.0;0.07;0.01;6th Gen;Handheld;Sony
16295;Valhalla Knights 2;PlayStation Portable;2008;K2 LLC;0.22;0.09;0.0;0.12;0.01;6th Gen;Handheld;Sony
16296;Valhalla Knights 2: Battle Stance;PlayStation Portable;2009;K2;0.04;0.0;0.0;0.04;0.0;6th Gen;Handheld;Sony
16297;Valhalla Knights 3;PlayStation Vita;2013;Unknown;0.19;0.04;0.01;0.12;0.02;8th Gen;Handheld;Sony
16298;Valhalla Knights: Eldar Saga;Wii;2009;K2 / Kurogane;0.13;0.1;0.01;0.01;0.01;7th Gen;Home Console;Nintendo
16299;Valkyria Chronicles;PlayStation 3;2008;Sega WOW Overworks;1.28;0.71;0.2;0.24;0.13;7th Gen;Home Console;Sony
16300;Valkyria Chronicles;PlayStation 4;2016;;0.17;0.06;0.04;0.05;0.02;8th Gen;Home Console;Sony
16301;Valkyria Chronicles 4;PlayStation 4;2018;Sega;0.24;0.1;0.03;0.08;0.03;8th Gen;Home Console;Sony
16302;Valkyria Chronicles 4;Switch;2018;Sega;0.2;0.12;0.04;0.02;0.02;8th Gen;Hybrid;Nintendo
16303;Valkyria Chronicles 4;Xbox One;2018;Sega;0.03;0.03;0.0;0.0;0.0;8th Gen;Home Console;Microsoft
16304;Valkyria Chronicles II;PlayStation Portable;2010;Sega WOW Overworks;0.55;0.12;0.16;0.18;0.09;6th Gen;Handheld;Sony
16305;Valkyria Chronicles Remastered;PlayStation 4;2016;Sega;0.34;0.14;0.08;0.08;0.04;8th Gen;Home Console;Sony
16306;Valkyria Revolution;PlayStation 4;2017;Media.Vision;0.16;0.04;0.03;0.07;0.02;8th Gen;Home Console;Sony
16307;Valkyria Revolution;PlayStation Vita;2017;Media.Vision;0.05;0.0;0.0;0.05;0.0;8th Gen;Handheld;Sony
16308;Valkyria Revolution;Xbox One;2017;Media.Vision;0.04;0.04;0.0;0.0;0.0;8th Gen;Home Console;Microsoft
16309;Valkyrie Drive: Bhikkhuni;PlayStation Vita;2016;Marvelous Entertainment;0.17;0.0;0.05;0.11;0.01;8th Gen;Handheld;Sony
16310;Valkyrie Drive: Bhikkhuni;PlayStation Vita;2015;;0.08;0.0;0.01;0.07;0.0;8th Gen;Handheld;Sony
16311;Valkyrie Profile;PlayStation;1999;;0.8;0.07;0.05;0.63;0.05;5th Gen;Home Console;Sony
16312;Valkyrie Profile 2: Silmeria;PlayStation 2;2006;tri-Ace;0.47;0.04;0.03;0.39;0.01;6th Gen;Home Console;Sony
16313;Valkyrie Profile: Covenant of the Plume;Nintendo DS;2008;;0.43;0.23;0.02;0.16;0.02;7th Gen;Handheld;Nintendo
16314;Valkyrie Profile: Lenneth;PlayStation Portable;2006;tri-Ace;0.36;0.17;0.01;0.16;0.02;6th Gen;Handheld;Sony
16315;Valthirian Arc: Hero School Story;PlayStation 4;2018;Agate Studio;0.02;0.02;0.0;0.0;0.0;8th Gen;Home Console;Sony
16316;Value Pack: Street Fighter Zero 3 Double Upper / Vampire Chronicle: The Chaos Tower;PlayStation Portable;2009;Capcom;0.0;0.0;0.0;0.0;0.0;6th Gen;Handheld;Sony
16317;Vampire Knight DS;Nintendo DS;2009;D3 Publisher;0.07;0.0;0.0;0.07;0.0;7th Gen;Handheld;Nintendo
16318;Vampire Legends: Power of Three;Nintendo DS;2010;Smack Down Productions SARL;0.08;0.07;0.0;0.0;0.01;7th Gen;Handheld;Nintendo
16319;Vampire Mansion: Linda Hyde;Nintendo DS;2011;Easy Interactive;0.02;0.0;0.02;0.0;0.0;7th Gen;Handheld;Nintendo
16320;Vampire Moon: The Mystery of the Hidden Sun;Nintendo DS;2010;City Interactive;0.14;0.12;0.01;0.0;0.01;7th Gen;Handheld;Nintendo
16321;Vampire Night;PlayStation 2;2001;Wow Entertainment;0.14;0.07;0.05;0.0;0.02;6th Gen;Home Console;Sony
16322;Vampire Rain;Xbox 360;2007;Artoon;0.21;0.18;0.0;0.01;0.02;7th Gen;Home Console;Microsoft
16323;Vampire Rain: Altered Species;PlayStation 3;2008;Artoon;0.06;0.05;0.0;0.0;0.01;7th Gen;Home Console;Sony
16324;Vampyr;PlayStation 4;2018;DONTNOD Entertainment;0.37;0.12;0.19;0.0;0.06;8th Gen;Home Console;Sony
16325;Vampyr;Xbox One;2018;DONTNOD Entertainment;0.12;0.07;0.04;0.0;0.01;8th Gen;Home Console;Microsoft
16326;Vamwolf Cross;PlayStation Vita;2015;Unknown;0.01;0.0;0.0;0.01;0.0;8th Gen;Handheld;Sony
16327;Van Helsing;PlayStation 2;2004;Saffire Corporation;0.45;0.22;0.17;0.0;0.06;6th Gen;Home Console;Sony
16328;Van Helsing;Xbox;2007;Saffire Corporation;0.18;0.13;0.04;0.0;0.01;6th Gen;Home Console;Microsoft
16329;Vanark;PlayStation;2000;Jaleco;0.02;0.01;0.01;0.0;0.0;5th Gen;Home Console;Sony
16330;Vancouver 2010 - The Official Video Game of the Olympic Winter Games;PlayStation 3;2010;Eurocom Entertainment Software;0.35;0.09;0.19;0.0;0.07;7th Gen;Home Console;Sony
16331;Vancouver 2010 - The Official Video Game of the Olympic Winter Games;Xbox 360;2010;Eurocom Entertainment Software;0.23;0.08;0.13;0.0;0.02;7th Gen;Home Console;Microsoft
